Crohn's Disease , ITF2357 , Italfarmaco ,20-Oct-07, Phase 1 , Terminated\,,,, 
 Celiac Disease , ALV003 , Alvine Pharmaceuticals Inc. ,20-Nov-10, Phase 1 , Completed\,,,,
 Parkinson's Disease , Methylphenidate , Laval University ,20-Dec-10, Phase 2 , Completed\,,,,
 Alzheimer Disease , Divalproex , National Institute of Neurological Disorders and Stroke (NINDS) , July 2004 , Phase 4 , Terminated\,,,,
 Chronic Obstructive Pulmonary Disease , BiPAP Pro 2, Phillips Respironics -  National Institute of Respiratory Diseases - Mexico, December 2011 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , ABT-384 , AbbVie (prior sponsor Abbott), May 2010 , Phase 4 , Active, not recruiting\,,,
 Mitochondrial Diseases , Cysteamine Bitartrate Delayed-release Capsules , Raptor Pharmaceuticals Inc. ,20-May-15, Phase 2 , Completed\,,,,
 Sickle Cell Disease , Alternative donor bone marrow and cord blood , Emory University ,20-Jan-06, Phase 2 , Enrolling by invitation\,,,,
 Crohn's Disease , Interferon beta-1a , EMD Serono ,20-Nov-01, Phase 0 , Terminated\,,,,
 Diverticular Disease of the Colon , Mesalazine plus Lactobacillus casei , Hospital Cristo Re ,20-Jan-09, Phase 2 , Terminated\,,,,
 Parkinson Disease , ropinirole monotherapy , GlaxoSmithKline ,20-Jan-12, Phase 4 , Completed\,,,,
 Parkinson Disease , Botulinum Toxin Type A , University of Cincinnati ,20-May-07, Phase 4 , Completed\,,,,
 Fabry Disease , DRX005B , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Nov-02, Phase 4 , Terminated\,,,,
 Peyronie's Disease , AA4500 , Endo Pharmaceuticals ,20-Oct-10, Phase 2 , Completed\,,,,
 Parkinson's Disease , ROZEREM , Southern California Institute for Research and Education , June 2007 , Phase 3 , Completed\,,,,
 Chronic Kidney Disease , Diet and exercise , The Cleveland Clinic ,20-Aug-10, Phase 4 , Terminated\,,,,
 Chronic Granulomatous Disease , VM106 , ViroMed Co.  Ltd. dba VM BioPharma, January 2007 , Phase 2 , Completed\,,,,
 Alzheimer\'b4s Disease , Immune Globulin Intravenous (Human), 10% Solution  Baxalta US Inc., January 2012 , Phase 1 , Active, not recruiting\,,,
 Alzheimer's Disease , Individualized management of AD including caregiver training , New York University School of Medicine ,20-Aug-06, Phase 3 , Terminated\,,,,
 Huntington's Disease (HD) , Creatine monohydrate , Massachusetts General Hospital ,20-Apr-05, Phase 4 , Completed\,,,,
 Alzheimer Disease , Sodium oligo-mannurarate 600mg , Shanghai Greenvalley Pharmaceutical Co. Ltd, October 2011 , Phase 2 , Completed\,,,,
 Alcohol-related Disorders , Couple-Based Treatment for Alcohol Use Disorders and PTSD , VA Office of Research and Development ,20-Aug-10, Phase 2 , Completed\,,,,
 Celiac Disease , ALV003 , Alvine Pharmaceuticals Inc. ,20-Aug-09, Phase 1 , Completed\,,,,
 Inflammatory Bowel Diseases , PET-CT , University of Wisconsin - Madison, October 2004 , Phase 2 , Completed\,,,,
 Meniere's Disease , OTO-104 , Otonomy Inc., November 2013 , Phase 4 , Terminated\,,,,
 Parkinson's Disease , Atomoxetine , Medical University of South Carolina ,20-Nov-12, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Panax Ginseng , Seoul National University Hospital ,20-Apr-04, Phase 2 , Completed\,,,,
 Parkinson Disease , Donepezil , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Feb-02, Phase 1 , Completed\,,,,
 HIV Infection Associated Kaposi Disease , Lenalidomide , French National Agency for Research on AIDS and Viral Hepatitis ,20-Oct-11, Phase 4 , Completed\,,,,
 Crohn's Disease , STA-5326 mesylate , Synta Pharmaceuticals Corp. ,20-Aug-05, Phase 2 , Terminated\,,,,
 Peripheral Arterial Disease (PAD) , clopidogrel (SR25990) , Sanofi ,20-Feb-09, Phase 2 , Completed\,,,,
 Addison's Disease , Solu-Cortef (hydrocortisone) , Haukeland University Hospital ,20-Feb-10, Phase 3 , Completed\,,,,
 Obstructive Sleep Apnea , Conservative Medical Therapy , Brigham and Women's Hospital ,20-Mar-11, Phase 2 , Completed\,,,,
 Chronic Kidney Disease , multidisciplinary predialysis education , Chang Gung Memorial Hospital , July 2007 , Phase 2 , Unknown status\,,,,
 Coronary Heart Disease , Xuesaitong soft capsule , Guang'anmen Hospital of China Academy of Chinese Medical Sciences ,20-May-12, Phase 4 , Completed\,,,,
 Crohn's Disease , VSL#3 , Orphan Australia , June 2005 , Phase 2 , Unknown status\,,,,
 Chronic Kidney Disease , Sitaxsentan , University of Edinburgh ,20-May-07, Phase 4 , Completed\,,,,
 Graft Versus Host Disease , Palifermin , Swedish Orphan Biovitrum ,20-Dec-05, Phase 2 , Unknown status\,,,,
 Pediatric , COPP/ABV , Memorial Sloan Kettering Cancer Center ,19-Mar-96, Phase 2 , Completed\,,,,
 Coronary Heart Disease , Ateronon , Brigham and Women's Hospital , July 2009 , Phase 2 , Completed\,,,,
 Crohn's Disease , Certolizumab pegol , UCB Pharma ,20-Nov-07, Phase 3 , Completed\,,,,
 Pompe Disease , AT2220 , Amicus Therapeutics ,20-Nov-08, Phase 3 , Withdrawn\,,,,
 Alzheimer Disease , indomethacin , Radboud University ,20-May-00, Phase 2 , Terminated\,,,,
 Alzheimer's Disease , 250mg rilapladib , GlaxoSmithKline ,20-Oct-11, Phase 3 , Completed\,,,,
 Parkinson Disease , 18F-DTBZ AV-133 , Chang Gung Memorial Hospital ,20-Nov-11, Phase 2 , Completed\,,,,
 Parkinson's Disease , Repetitive transcranial magnetic stimulation (rTMS) , Beth Israel Deaconess Medical Center ,20-May-10, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Dimebon , Medivation Inc., March 2009 , Phase 2 , Completed\,,,,
 Alzheimer Disease , Placebo Control , Transition Therapeutics Ireland Limited ,20-Dec-07, Phase 3 , Completed\,,,,
 Hodgkin's Disease , Methotrexate , Memorial Sloan Kettering Cancer Center ,19-Mar-94, Phase 2 , Completed\,,,,
 Cardiovascular Diseases , diet of fish and fruit , Menzies School of Health Research ,20-May-04, Phase 2 , Completed\,,,,
 Crohn's Disease , Probiotic - VSL#3 , University of Alberta ,20-Dec-03, Phase 3 , Completed\,,,,
 Parkinson's Disease , PYM50028 , Phytopharm ,20-Nov-10, Phase 3 , Completed\,,,,
 Crohn's Disease , AMG 827 , Amgen ,20-Dec-10, Phase 2 , Completed\,,,,
 Tourette's Syndrome , galantamine , Parkinson's Disease and Movement Disorders Center ,20-Sep-05, Phase 2 , Terminated\,,,,
 Crohn Disease , semapimod , Ferring Pharmaceuticals , June 2002 , Phase 4 , Terminated\,,,,
 Parkinson Disease , pramipexole , Boehringer Ingelheim ,20-May-06, Phase 2 , Terminated\,,,,
 Moderate to Severe Crohn's Disease , ADALIMUMAB , AbbVie , June 2014 , Phase 4 , Completed\,,,,
 Cardiovascular Diseases , polypill , Imperial College London , June 2010 , Phase 4 , Active, not recruiting\,,,
 Parkinson's Disease , TVP-1012 1mg , Takeda ,20-Jan-15, Phase 3 , Completed\,,,,
 Alzheimer Disease , Rivastigmine 5 cm^2 , Novartis Pharmaceuticals , June 2007 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , GSK933776 , GlaxoSmithKline ,20-Mar-07, Phase 3 , Completed\,,,,
 Crohn Disease , Recombinant Human Interleukin-11 (rhIL-11) , Wyeth is now a wholly owned subsidiary of Pfizer ,20-Apr-02, Phase 1 , Completed\,,,,
 Chronic Kidney Disease , epoetin alfa , Johnson & Johnson Pharmaceutical Research & Development L.L.C., January 2006 , Phase 2 , Completed\,,,,
 Parkinson's Disease , Muscimol , National Institute of Neurological Disorders and Stroke (NINDS) , June 2009 , Phase 1 , Completed\,,,,
 Parkinson's Disease , Levodopa infusion , Helsinki University ,20-Apr-09, Phase 1 , Withdrawn\,,,,
 Graft vs Host Disease , Rituximab , Dana-Farber Cancer Institute ,20-Jan-04, Phase 4 , Completed\,,,,
 Acute Graft Versus Host Disease , Tocilizumab , Medical College of Wisconsin ,20-Aug-11, Phase 1 , Completed\,,,,
 Chronic Obstructive Pulmonary Disease , Roflumilast 500 , Spanish Research Center for Respiratory Diseases ,20-May-12, Phase 1 , Terminated\,,,,
 Parkinson's Disease , Dalfampridine , University of Miami , July 2012 , Phase 4 , Unknown status\,,,,
 Glycogen Storage Disease Type II , Myozyme , Genzyme, a Sanofi Company , Phase 1 , Completed\,,,,
 Crohn's Disease , adalimumab , Abbott ,20-Aug-06, Phase 2 , Completed\,,,,
 Alzheimer's Disease , placebo , AbbVie (prior sponsor, April 2003 , Phase 3 , Completed\,,,,
 Temporomandibular Disorders , Biofeedback-Based Cognitive Behavioral Treatment , Philipps University Marburg Medical Center ,20-Aug-08,, Phase 2 , Completed\,,,
 Parkinson's Disease , Cabergoline , Technische Universit\'e4t Dresden , February 2012 , Phase 2 , Completed\,,,,
 Early Parkinson's Disease , SPM 962 , Otsuka Pharmaceutical Co. Ltd,20-Feb-05, Phase 4 , Completed\,,,,
 Alzheimer's Disease , SK-PC-B70M , SK Chemicals Co. -  Clermont-Ferrand Ltd, September 2007 , Phase 2 , Completed\,,,,
 Gaucher Disease , Imigluc\'e9rase (drug) pharmacokinetics , University Hospital, April 2007 , Phase 2 , Completed\,,,,
 Cat-scratch Disease , prednison and azithromycin , Tel-Aviv Sourasky Medical Center -  and Alpha-lipoic Acid ,20-Dec-11, November 2012 , Phase 2 , Unknown status\,,,
 Alzheimer's Disease , Vitamin E - Vitamin C, National Institute on Aging (NIA) ,20-Apr-07, Phase 4 , Unknown status\,,,,
 Chronic Obstructive Pulmonary Disease , trospium chloride inhalation powder (TrIP) , Endo Pharmaceuticals , January 2006 , Phase 1 , Completed\,,,,
 Degenerative Disc Disease , YH14618 , Yuhan Corporation ,20-May-12, Phase 1 , Completed\,,,,
 Parkinson's Disease , N-acetylcysteine , University of Minnesota - Clinical and Translational Science Institute , July 2011 , Phase 1 , Completed\,,,,
 Crohn's Disease , abatacept , Bristol-Myers Squibb ,20-Dec-06, Phase 1 , Completed\,,,,
 Celiac Disease , Simvastatin , All India Institute of Medical Sciences, New Delhi , Phase 3 , Terminated\,,,,
 Parkinson's Disease , tDCS , Georgetown University ,20-Oct-13, April 2010 , Phase 2 , Completed\,,,
 Sickle Cell Disease , Hematopoietic Stem Cell Transplantation , Medical College of Wisconsin ,20-Aug-08, Phase 1 , Completed\,,,,
 Alzheimer's Disease , MT-4666 , Mitsubishi Tanabe Pharma Corporation ,20-Dec-14, Phase 2 , Active, not recruiting\,,,
 Intervertebral Disc Disease , Instrumented posterolateral arthrodesis , Red de Terapia Celular ,20-Jan-10, Phase 3 , Terminated\,,,,
 Alzheimer's Disease , LY2062430 , Eli Lilly and Company ,20-May-09, Phase 1 , Unknown status\,,,,
 Gastroesophageal Reflux Disease , Dexlansoprazole 30 mg , Takeda ,20-Mar-15, Phase 3 , Completed\,,,,
 Crohn's Disease , Epanova , Tillotts Pharma AG ,20-Jan-03, Phase 4 , Completed\,,,,
 Parkinson Disease , G-CSF , Buddhist Tzu Chi General Hospital , June 2010 , Phase 3 , Completed\,,,,
 Alzheimer's Disease , Placebo and ginkgo extract , Chinese University of Hong Kong ,20-Oct-04, Phase 2 , Terminated\,,,,
 Alzheimer's Disease , ABT-126 , AbbVie (prior sponsor Abbott), March 2012 , Phase 1 , Completed\,,,,
 Huntington's Disease , ACR16 , Teva Pharmaceutical Industries ,20-Apr-08, Phase 2 , Completed\,,,,
 Crohn's Disease , Ciprofloxacin , University of North Carolina - Chapel Hill, May 2008 , Phase 3 , Completed\,,,,
 Alzheimer's Disease , AC-3933 , Sunovion ,20-Feb-06, Phase 2 , Completed\,,,,
 Parkinson's Disease , Liatermin , Amgen ,20-Dec-03, Phase 2 , Completed\,,,,
 Crohn's Disease , 10% Metronidazole Ointment , S.L.A. Pharma AG ,20-May-05, Phase 1 , Completed\,,,,
 Movement Disorders , Eliprodil , National Institute of Neurological Disorders and Stroke (NINDS) ,19-Mar-99, Phase 3 , Completed\,,,,
 Alzheimer's Disease , Epigallocatechin-Gallate , Charite University - Berlin - Germany, October 2009 , Phase 2 , Completed\,,,,
 Dyskinesias , LY300164 , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Feb-00, Phase 2 , Completed\,,,,
 Parkinson Disease , Pramipexol Extended Release , Boehringer Ingelheim ,20-Apr-07, Phase 2 , Completed\,,,,
 Chronic Lymphoproliferative Diseases , GRN163L , Geron Corporation , July 2005 , Phase 3 , Completed\,,,,
 Positron-Emission Tomography , F-18 FEDAA1106 (BAY85-8101) , Bayer , June 2007 , Phase 1 , Completed\,,,,
 Relapsing Remitting Multiple Sclerosis , Fingolimod , Novartis Pharmaceuticals , June 2012 , Phase 1 , Completed\,,,,
 Graft Versus Host Disease , Visilizumab , H. Lee Moffitt Cancer Center and Research Institute ,20-Dec-07, Phase 4 , Completed\,,,,
 Alzheimer Disease , Acitretin , Johannes Gutenberg University Mainz ,20-Mar-10, Phase 2 , Terminated\,,,,
 Chagas Disease , Implantable Cardiac Monitor , Medtronic Cardiac Rhythm and Heart Failure , July 2013 , Phase 2 , Unknown status\,,,,
 Parkinson Disease , treatment with Nintendo wii. , Federal University of Bahia ,20-May-11, Phase 4 , Terminated\,,,,
 Eating Disorders , Promoting Eating Disorder Treatment among College Students , University of Michigan ,20-Jan-15, Phase 2 , Completed\,,,,
 Parkinson's Disease , SAM-e , New York University School of Medicine , July 2003 , Phase 1 , Completed\,,,,
 Parkinson's Disease , EMST - Active Treatment , University of Florida ,20-Jan-04, Phase 2 , Completed\,,,,
 Crohn Disease , Teduglutide (ALX-0600) , Shire ,20-Mar-04, Phase 1 , Completed\,,,,
 Huntington's Disease , Creatine Monohydrate , Massachusetts General Hospital ,20-May-09, Phase 2 , Completed\,,,,
 Crohn's Disease , Placebo , Pfizer ,20-Oct-11, Phase 2 , Completed\,,,,
 Parkinson Disease , N-0923 , National Institute of Neurological Disorders and Stroke (NINDS) ,19-May-99, Phase 2 , Completed\,,,,
 Huntington's Disease , Creatine monohydrate , Massachusetts General Hospital ,20-Apr-10, Phase 2 , Completed\,,,,
 Symptomatic Gastroesophageal Reflux Disease (sGERD) , rabeprazole sodium , Eisai Inc. ,20-Jan-09, Phase 2 , Completed\,,,,
 Crohn's Disease , Placebo matching with BMS-945429 , Alder Biopharmaceuticals Inc., June 2012 , Phase 3 , Completed\,,,,
 Peyronie's Disease , H-100 , Hybrid Medical , June 2013 , Phase 2 , Terminated\,,,,
 Crohn's Disease , RR110 (Tamibarotene) , R&R Inc. ,20-Dec-06, Phase 1 , Completed\,,,,
 Inflammatory Bowel Disease , Bacteriotherapy , David Suskind ,20-Dec-12, Phase 2 , Completed\,,,,
 Bipolar Disorder , Quetiapine , Mood Disorders Center of Ottawa , June 2004 , Phase 1 , Completed\,,,,
 Crohn's Disease , FDG PET CT , Rabin Medical Center ,20-Apr-08, Phase 3 , Completed\,,,,
 Non-alcoholic Fatty Liver Disease , Efamax , University of Nottingham ,20-Jan-09, Phase 4 , Unknown status\,,,,
 Heart Disease , Cardiac habilitation program , Oslo University Hospital ,20-Mar-13, Phase 2 , Completed\,,,,
 Dense Deposit Disease , CDX-1135 , Celldex Therapeutics ,20-Jan-13, Phase 0 , Unknown status\,,,,
 Crohn's Disease , Entocort , Perrigo Company ,20-Dec-11, Phase 1 , Terminated\,,,,
 Parkinson Disease , [18F]MPPF , Institute for Neurodegenerative Disorders ,20-Sep-11, Phase 3 , Completed\,,,,
 Huntington Disease , Ethyl-EPA (Miraxion\'99) , Amarin Neuroscience Ltd ,20-Sep-05, Phase 1 , Completed\,,,,
 Emotional Disorders , Unified treatment , Boston University ,20-Sep-05, Phase 3 , Completed\,,,,
 Chronic GVHD , Sirolimus + calcineurin inhibitor + prednisone , Medical College of Wisconsin ,20-Apr-10, Phase 3 , Completed\,,,,
 Sickle Cell Disease , laying-on-of-hands , MOA Health Science Foundation ,20-Mar-06, Phase 2 , Active, not recruiting\,,,
 Alzheimer's Disease , LY451395 , Eli Lilly and Company ,20-Nov-02, Phase 2 , Completed\,,,,
 Alzheimer's Disease , LY2062430 , Eli Lilly and Company ,20-May-09, Phase 2 , Completed\,,,,
 Graft Versus Host Disease , cyclosporine , Children's Oncology Group ,20-Apr-02, Phase 3 , Completed\,,,,
 Parkinson's Disease , Tai Chi , Oregon Research Institute ,20-Oct-08, Phase 3 , Completed\,,,,
 Degenerative Disc Disease , XL TDR , NuVasive , July 2009 , Phase 2 , Completed\,,,,
 Crohn Disease , infliximab , Centocor,20-May-14, Phase 3 , Completed\,,,,
 Crohn's Disease , MT-1303 , Mitsubishi Tanabe Pharma Corporation , February 2003 , Phase 3 , Completed\,,,,
 Parkinson Disease , SR57667B , Sanofi ,20-Jan-04, Phase 1 , Completed\,,,,
 Alzheimer's Disease , CX516 (Ampalex) , National Institute of Neurological Disorders and Stroke (NINDS) ,19-Dec-96, Phase 2 , Completed\,,,,
 Parkinson's Disease , KW-6002 , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Oct-00, Phase 2 , Completed\,,,,
 Alzheimer Disease , Leuprolide acetate , Voyager Pharmaceutical Corporation ,20-Dec-03, Phase 2 , Completed\,,,,
 Advanced Parkinson's Disease , ABT-SLV187 , AbbVie ,20-Sep-15, Phase 2 , Completed\,,,,
 Parkinson's Disease , Istradefylline (KW-6002) , Kyowa Kirin Pharmaceutical Development Inc.,20-Mar-10, Phase 3 , Enrolling by invitation\,,,,
 Chronic Obstructive Pulmonary Disease (COPD) , Opioid (morphine sulphate) in low dose , Nova Scotia Health Authority , July 2004 , Phase 3 , Completed\,,,,
 Chronic Kidney Disease , SBR759 , Novartis Pharmaceuticals ,20-Feb-07, Phase 2 , Completed\,,,,
 Graft Versus Host Disease , Conventional treatment plus intravenous infusion of allogenic mesenchymal stem cells from adipose tissue. , Andalusian Initiative for Advanced Therapies - Fundaci\'f3n P\'fablica Andaluza Progreso y Salud , June 2010 , Phase 1 , Completed\,,,,
 Idiopathic Parkinson's Disease , Rotigotine , UCB Korea Co.,20-May-13, Phase 1 , Completed\,,,,
 Parkinson's Disease , Elastic abdominal binder , Medical University Innsbruck , April 2012 , Phase 4 , Completed\,,,,
 Vaso-occlusive Crisis , Saline , Mast Therapeutics, May 2013 , Phase 2 , Completed\,,,,
 End Stage Renal Disease , eravacycline , Tetraphase Pharmaceuticals, July 2008 ,, Phase 3 , Completed\,,,
 Crohn's Disease , Naltrexone , Penn State University , December 2013 ,, Phase 1 , Completed\,,,
 Alzheimer's Disease , 123-I MNI-340 , Institute for Neurodegenerative Disorders ,20-Apr-08, Phase 2 , Completed\,,,,
 Parkinson's Disease , Tyrosine , New York Institute of Technology ,20-Sep-12, Phase 1 , Terminated\,,,,
 Alzheimer Disease , galantamine , Johnson & Johnson Pharmaceutical Research & Development, October 2008 , Phase 1 , Completed\,,,,
 Peripheral Arterial Disease , SilverHawk\'99 LS-C, TurboHawk\'99 LS-C,May 2 2002, Phase 4 , Completed\,,,,
 Crohn's Disease , MT-1303 , Mitsubishi Tanabe Pharma Corporation ,20-Aug-15, Phase 2 , Completed\,,,,
 Post-traumatic Stress Disorder , Cognitive behavioral couples therapy for post-traumatic stress disorder (CBCT for PTSD) , Ryerson University ,20-Aug-08, Phase 2 , Active, not recruiting\,,,
 Cardiovascular Disease , AUC monitored withdrawal of MMF or CNI , Leiden University Medical Center ,20-Dec-05, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Donepezil HCL , Eisai Korea Inc. ,20-Feb-14, Phase 4 , Completed\,,,,
 Celiac Disease , 4 dose levels of ALV003 , Alvine Pharmaceuticals Inc. ,20-Feb-08, Phase 4 , Completed\,,,,
 Oral Chronic Graft vs Host Disease , Clobetasol Oral Rinse , National Cancer Institute (NCI) ,20-Jan-12, Phase 1 , Completed\,,,,
 Parkinson's Disease , physical therapy , Katholieke Universiteit Leuven , June 2011 , Phase 2 , Active, not recruiting\,,,
 Peripheral Vascular Diseases , Vasovist (BAY86-5283, MS-325) , Bayer , Phase 3 , Completed\,,,,
 Panic Disorders , VENLAFAXINE , Wyeth is now a wholly owned subsidiary of Pfizer ,20-Jan-05, February 2006 , Phase 3 , Completed\,,,
 Alzheimer's Disease , MK-0249 7.5 mg , Merck Sharp & Dohme Corp. ,20-Apr-09, Phase 3 , Completed\,,,,
 Alzheimer's Disease , Bapineuzumab , JANSSEN Alzheimer Immunotherapy Research & Development, LLC , Phase 1 , Terminated\,,,,
 Alzheimer's Disease , TC-5619 , Targacept Inc. ,20-Sep-10, July 2009 , Phase 3 , Terminated\,,,
 Von Hippel-Lindau Disease , Vorinostat , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Mar-14, Phase 1 , Completed\,,,,
 Crohn's Disease , adalimumab , Abbott ,20-Mar-07, Phase 1 , Enrolling by invitation\,,,,
 Idiopathic Parkinson's Disease , Safinamide, MAO-B inhibitor  Newron ,20-Mar-09, Phase 2 , Completed\,,,,
 Parkinson's Disease , EMST , VA Office of Research and Development , October 2009 , Phase 3 , Terminated\,,,,
 Crohn Disease , Sargramostim (Leukine) , Genzyme  a Sanofi Company ,20-Mar-09, Phase 2 , Completed\,,,,
 Alzheimer's Disease , florbetapir F 18 , Avid Radiopharmaceuticals , July 2004 , Phase 3 , Terminated\,,,,
 Parkinson Disease , Kinetra and Soletra (neurostimulator  Medtronic) , German Parkinson Study Group (GPS) ,20-Aug-07, Phase 2 , Completed\,,,,
 Parkinson's Disease , BIIB014 , Biogen , July 2006 , Phase 4 , Unknown status\,,,,
 Crohn's Disease , Adalimumab , AbbVie ,20-Aug-14, Phase 2 , Completed\,,,,
 Infantile Canavan Disease , GTA: Glyceryltriacetate , Sheba Medical Center ,20-Jan-06, Phase 3 , Enrolling by invitation\,,,,
 Crohn Disease , Placebo , Boehringer Ingelheim ,20-Oct-01, Phase 1 , Unknown status\,,,,
 Crohn's Disease , Methoxsalen +ECP , Mallinckrodt ,20-Dec-04, Phase 2 , Terminated\,,,,
 Celiac Disease , ALV003 , Alvine Pharmaceuticals Inc. ,20-Mar-08, Phase 2 , Completed\,,,,
 Parkinson's Disease , 18F-FDG , Chang Gung Memorial Hospital ,20-Aug-10, Phase 1 , Completed\,,,,
 Crohns Disease , glatiramer acetate , Tel-Aviv Sourasky Medical Center ,20-Sep-08, Phase 2 , Completed\,,,,
 Parkinson Disease , Neopulse Magnetic Stimulator , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Jan-02, Phase 2 , Unknown status\,,,,
 Hepatic Veno-Occlusive Disease , Defibrotide , European Group for Blood and Marrow Transplantation ,20-Dec-05, Phase 2 , Completed\,,,,
 CROHN'S DISEASE , Immune Ablation and Hematopoietic Stem Cell Support , Richard Burt, MD , Phase 2 , Completed\,,,,
 Alzheimer's Disease , Tryptophan , Queen's University ,20-Apr-01, April 2001 , Phase 1 , Terminated\,,,
 Fabry Disease , migalastat hydrochloride , Amicus Therapeutics ,20-Dec-10, Phase 4 , Completed\,,,,
 Graft vs Host Disease , Decidual Stromal Cells thawed in plasma , Karolinska Institutet ,20-Jan-11, Phase 3 , Completed\,,,,
 Parkinson Disease , [123I]CLINDE , Institute for Neurodegenerative Disorders ,20-Jan-08, Phase 1 , Unknown status\,,,,
 Crohn Disease , Tacrolimus , University of Aberdeen ,Nov 2 2010, Phase 1 , Terminated\,,,,
 Alzheimer's Disease , T3D-959 , T3D Therapeutics,20-Mar-09, Phase 2 , Completed\,,,,
 Parkinson's Disease , Safinamide , Newron , July 2015 , Phase 1 , Active, not recruiting\,,,
 High Risk HLA-A2+ Melanoma , Melanoma vaccine modified to express HLA A2/4-1BB ligand , Hadassah Medical Organization , June 2013 , Phase 3 , Completed\,,,,
 Alzheimer Disease , Florbetaben (BAY94-9172) , Piramal Imaging SA ,20-Aug-08, Phase 2 , Unknown status\,,,,
 Sickle Cell Disease , aspirin , University of Rochester ,20-Mar-05, Phase 2 , Completed\,,,,
 Crohn's Disease , Placebo , Abbott ,20-Nov-07, Phase 1 , Completed\,,,,
 Parkinson's Disease , Far Infrared Radiation (5um to 20 um wavelgnth), GAAD Medical Research Institute Inc. , May 2008 , Phase 1 , Terminated\,,,,
 Crohn's Disease , risedronate , University of Alberta ,5-Oct, Unknown status\,,,,,
 Gait Disorders, Neurologic , droxidopa , Chelsea Therapeutics ,2010, Phase 4 , Completed\,,,
 Crohn's Disease , RPC1063 , Celgene ,20-Sep-15, April 2012 , Phase 1 , Withdrawn\,,,
 Inflammatory Bowel Disease , Curcumin , Seattle Children's Hospital ,20-May-09, Phase 2 , Active, not recruiting\,,,
 Parkinson's Disease , [F18]-FDDNP , Fundacion Clinic per a la Recerca Biom\'e9dica ,20-Mar-10, Phase 1 , Completed\,,,,
 Panic Disorder , Clonazepam , Massachusetts General Hospital ,19-Mar-99, Phase 0 , Completed\,,,,
 Crohn's Disease , STA-5326 mesylate , Synta Pharmaceuticals Corp. ,20-Nov-05, Phase 2 , Completed\,,,,
 Fabry Disease , AT1001 , Amicus Therapeutics ,20-Sep-07, Phase 2 , Completed\,,,,
 Crohn's Disease , GLPG0634 , Galapagos NV Inc.,20-Feb-14, Phase 2 , Completed\,,,,
 Alzheimer's Disease , PRX-03140 , Epix Pharmaceuticals,, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Bexarotene , The Cleveland Clinic ,20-Feb-13, April 2008 , Phase 2 , Terminated\,,,
 Interstitial Lung Disease , bosentan , Actelion , July 2004 , Phase 2 , Completed\,,,,
 Parkinson Disease , Vitamin D3 , Memorial Medical Center ,20-Sep-09, Phase 2 , Completed\,,,,
 Parkinson's Disease , ROTIGOTINE , Luye Pharma Group Ltd. ,20-May-16, Phase 2 , Completed\,,,,
 Crohn Disease , OPC-6535(Tetomilast) , Otsuka Pharmaceutical Co.,, Phase 1 , Completed\,,,,
 Inflammatory Bowel Disease 11 , Prednisone , University of British Columbia ,20-Oct-13, May 2006 , Phase 2 , Terminated\,,,
 Celiac Disease , CCX282-B , ChemoCentryx ,20-Oct-07, Phase 4 , Completed\,,,,
 Chronic Kidney Disease , FG-4592 , FibroGen ,20-May-12, Phase 2 , Completed\,,,,
 Chronic Obstructive Pulmonary Disease , Cyclosporine , University of Pittsburgh ,20-Sep-09, Phase 2 , Enrolling by invitation\,,,,
 Graft-Versus-Host Disease , Panobinostat (LBH589) , H. Lee Moffitt Cancer Center and Research Institute -  University of Saskatchewan ,20-Apr-10, Phase 1 , Active, not recruiting\,,,
 Parkinson Disease , Exercise, Education ,, Phase 1 , Active, not recruiting\,,,
 Parkinson's Disease , 18F- DTBZ , Chang Gung Memorial Hospital ,20-Mar-12, September 2005 , Phase 1 , Completed\,,,
 Life Threatening Diseases , Imatinib mesylate , Novartis Pharmaceuticals ,20-Feb-01, Phase 2 , Completed\,,,,
 Adult Polyglucosan Body Disease , Triheptanoin , Baylor Research Institute , June 2009 , Phase 2 , Completed\,,,,
 Stem Cell Leukemia of Unclear Lineage , extracorporeal photopheresis , University of Kansas  Inc. , June 2010 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , PRX-03140 , Epix Pharmaceuticals  Education,, Phase 0 , Unknown status\,,,,
 Parkinson Disease , Laser light (U-Step Walking Stabilizer with laser light) , Parkinson's Disease Research, May 2008 , Phase 2 , Terminated\,,,,
 Alzheimer's Disease , GSK239512 , GlaxoSmithKline ,20-Feb-08, and Clinical Center, Philadelphia , June 2003 , Phase 3 , Completed\,
 Graft Versus Host Disease , daclizumab , Dana-Farber Cancer Institute ,20-Oct-02, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Placebo , AbbVie (prior sponsor, Abbott) , Phase 3 , Unknown status\,,,,
